model,dataset,metric,pearson,pearson_p,spearman,spearman_p,valid_pairs,total_pairs
all-MiniLM-L12-v2,MEN,cosine,0.7595759170234813,0.0,0.7772224889080853,0.0,3000,3000
all-MiniLM-L12-v2,MTurk,cosine,0.696004459850878,9.834379182076438e-113,0.706982362461207,8.347961170796822e-118,771,771
all-MiniLM-L12-v2,WordSim353,adjusted_cosine,0.7515896389135003,2.1218650037411773e-65,0.7368077879011388,1.2443545322429776e-61,353,353
all-MiniLM-L12-v2,SimLex999,adjusted_cosine,0.45305296621156377,1.0178543261775916e-51,0.40873756129801464,1.633709168042848e-41,999,999
all-MiniLM-L12-v2,MC30,adjusted_cosine,0.7538927698832957,1.5085042918723893e-06,0.7524202043790268,1.62356841007127e-06,30,30
all-MiniLM-L12-v2,MEN,adjusted_cosine,0.7605805728303762,0.0,0.7785267086262729,0.0,3000,3000
all-MiniLM-L12-v2,MTurk,adjusted_cosine,0.6967587975620693,4.483913333100091e-113,0.7076931437906806,3.8468819857010634e-118,771,771
all-MiniLM-L12-v2,WordSim353,sqrt_cosine_similarity,0.5931584607499445,6.370254475305848e-35,0.5984392507985404,1.139715265264332e-35,353,353
all-MiniLM-L12-v2,SimLex999,sqrt_cosine_similarity,0.2810711029006885,1.3549953503641155e-19,0.29855074349122124,5.146835663531879e-22,999,999
all-MiniLM-L12-v2,MC30,sqrt_cosine_similarity,0.8038166258706139,8.824166955300449e-08,0.8178480482380726,3.425946458802605e-08,30,30
all-MiniLM-L12-v2,MEN,sqrt_cosine_similarity,0.5385113519285117,2.9735075360780855e-225,0.5496357767308299,1.8602101549741265e-236,3000,3000
all-MiniLM-L12-v2,MTurk,sqrt_cosine_similarity,0.5690043049146782,2.3706854305826922e-67,0.5742784657850748,7.502985227434853e-69,771,771
all-MiniLM-L12-v2,WordSim353,isc_similarity,0.7470090039850025,3.3298049739831184e-64,0.730034573459864,5.467095149669862e-60,353,353
all-MiniLM-L12-v2,SimLex999,isc_similarity,0.4525380207069283,1.3651187065542733e-51,0.406867730763813,4.0847832342489e-41,999,999
all-MiniLM-L12-v2,MC30,isc_similarity,0.7399896135748492,2.9614537877690967e-06,0.7154779524041914,8.830742554210557e-06,30,30
all-MiniLM-L12-v2,MEN,isc_similarity,0.7564885900290582,0.0,0.7733287378430684,0.0,3000,3000
all-MiniLM-L12-v2,MTurk,isc_similarity,0.694066171543812,7.316991863641752e-112,0.7029348680051498,6.583580332453523e-116,771,771
paraphrase-MiniLM-L6-v2,WordSim353,cosine,0.7097016209334853,2.4179276850548673e-55,0.680636979795628,2.3295487023407894e-49,353,353
paraphrase-MiniLM-L6-v2,SimLex999,cosine,0.5933192292240743,4.889694309978304e-96,0.5684591953860103,1.4082560468946102e-86,999,999
paraphrase-MiniLM-L6-v2,MC30,cosine,0.8442654153272886,4.542158865043885e-09,0.8174029608648817,3.534636942260527e-08,30,30
paraphrase-MiniLM-L6-v2,MEN,cosine,0.7570074474230718,0.0,0.7666345590154867,0.0,3000,3000
paraphrase-MiniLM-L6-v2,MTurk,cosine,0.6682302576062196,7.118427136535479e-101,0.6550342357111149,1.1168130069730368e-95,771,771
paraphrase-MiniLM-L6-v2,WordSim353,adjusted_cosine,0.7847156661165401,6.722756491652467e-75,0.7726607260612941,2.9534377272427622e-71,353,353
paraphrase-MiniLM-L6-v2,SimLex999,adjusted_cosine,0.6094469793486388,1.2520383645949168e-102,0.5793365804146215,1.2876664579435177e-90,999,999
paraphrase-MiniLM-L6-v2,MC30,adjusted_cosine,0.8333798779408942,1.0894216012950345e-08,0.8191833103576449,3.11793976094e-08,30,30
paraphrase-MiniLM-L6-v2,MEN,adjusted_cosine,0.7957843680398681,0.0,0.8106716241848914,0.0,3000,3000
paraphrase-MiniLM-L6-v2,MTurk,adjusted_cosine,0.7229863490472894,1.2338412098673877e-125,0.7207048394376675,1.741980075808652e-124,771,771
paraphrase-MiniLM-L6-v2,WordSim353,sqrt_cosine_similarity,0.6517378588494959,4.639492077291942e-44,0.62730835172081,5.18137259975788e-40,353,353
paraphrase-MiniLM-L6-v2,SimLex999,sqrt_cosine_similarity,0.5416111285374902,3.1505961303601244e-77,0.5137797022751988,2.1779125540428596e-68,999,999
paraphrase-MiniLM-L6-v2,MC30,sqrt_cosine_similarity,0.7869555823579639,2.5014869639597597e-07,0.7717815051128261,5.919521299147566e-07,30,30
paraphrase-MiniLM-L6-v2,MEN,sqrt_cosine_similarity,0.6979576366892,0.0,0.7054527845169571,0.0,3000,3000
paraphrase-MiniLM-L6-v2,MTurk,sqrt_cosine_similarity,0.6214945603867992,1.3987763743811334e-83,0.6149558452994934,2.165918126723629e-81,771,771
paraphrase-MiniLM-L6-v2,WordSim353,isc_similarity,0.6987491032459612,5.284241057530995e-53,0.6682184425608556,5.217978359617708e-47,353,353
paraphrase-MiniLM-L6-v2,SimLex999,isc_similarity,0.5898015174889906,1.1965734532395855e-94,0.5648784172046404,2.789858444418535e-85,999,999
paraphrase-MiniLM-L6-v2,MC30,isc_similarity,0.8372000313224689,8.072719456543931e-09,0.8049405144155397,8.203139127906631e-08,30,30
paraphrase-MiniLM-L6-v2,MEN,isc_similarity,0.751901949865842,0.0,0.7610462197341129,0.0,3000,3000
paraphrase-MiniLM-L6-v2,MTurk,isc_similarity,0.6601202492533311,1.1932089684302533e-97,0.6472623826870364,9.715721806632845e-93,771,771
paraphrase-albert-small-v2,WordSim353,cosine,0.6117663965300909,1.281502069190537e-37,0.6036250186827156,2.0383513199092517e-36,353,353
paraphrase-albert-small-v2,SimLex999,cosine,0.4798854316994529,1.132324589693471e-58,0.46268862625485974,3.815095077319364e-54,999,999
paraphrase-albert-small-v2,MC30,cosine,0.7078225225359098,1.214419357016805e-05,0.7203739135092901,7.164149559534361e-06,30,30
paraphrase-albert-small-v2,MEN,cosine,0.7013070612097536,0.0,0.7127239207098605,0.0,3000,3000
paraphrase-albert-small-v2,MTurk,cosine,0.5651724344850487,2.802448463534008e-66,0.5705743077975697,8.536867945816147e-68,771,771
paraphrase-albert-small-v2,WordSim353,adjusted_cosine,0.7251729629415264,7.700105281443868e-59,0.7146005878177898,2.0015118417663052e-56,353,353
paraphrase-albert-small-v2,SimLex999,adjusted_cosine,0.5494332779605514,7.272217930940563e-80,0.524067299406879,1.4654686430175029e-71,999,999
paraphrase-albert-small-v2,MC30,adjusted_cosine,0.7502873827143719,1.804356252728679e-06,0.7025704185816586,1.50252701724013e-05,30,30
paraphrase-albert-small-v2,MEN,adjusted_cosine,0.7814652777156823,0.0,0.7976560323995979,0.0,3000,3000
paraphrase-albert-small-v2,MTurk,adjusted_cosine,0.6870986706233922,8.726764944565435e-109,0.6831635994815871,4.3684609534711044e-107,771,771
paraphrase-albert-small-v2,WordSim353,sqrt_cosine_similarity,0.6480615062212449,1.992649080167543e-43,0.6527017880828346,3.1553786534089363e-44,353,353
paraphrase-albert-small-v2,SimLex999,sqrt_cosine_similarity,0.46982918848443167,5.40553830795045e-56,0.44937794227513994,8.179822934927203e-51,999,999
paraphrase-albert-small-v2,MC30,sqrt_cosine_similarity,0.6925062603734674,2.231654800847388e-05,0.6816513120416916,3.361008151178875e-05,30,30
paraphrase-albert-small-v2,MEN,sqrt_cosine_similarity,0.7201595723289235,0.0,0.7374842512655303,0.0,3000,3000
paraphrase-albert-small-v2,MTurk,sqrt_cosine_similarity,0.6011589909046622,6.18630606809712e-77,0.5953297404520396,4.0691687510734345e-75,771,771
paraphrase-albert-small-v2,WordSim353,isc_similarity,0.6042935959480127,1.628946902811256e-36,0.5971196658404385,1.7573039014621372e-35,353,353
paraphrase-albert-small-v2,SimLex999,isc_similarity,0.47600559120781083,1.2534466254446796e-57,0.45917129324553496,2.993325098898874e-53,999,999
paraphrase-albert-small-v2,MC30,isc_similarity,0.7026863024399304,1.4955588617782653e-05,0.7083565544331388,1.1881106506111964e-05,30,30
paraphrase-albert-small-v2,MEN,isc_similarity,0.6948144254574068,0.0,0.706725945391132,0.0,3000,3000
paraphrase-albert-small-v2,MTurk,isc_similarity,0.559927359014981,7.820447099918742e-65,0.5665321359878499,1.1709054543317486e-66,771,771
word2vec,WordSim353,cosine,0.4377367293694741,5.886652947710746e-18,0.4455736175403475,1.2790417947248705e-18,353,353
word2vec,SimLex999,cosine,0.3151889333620214,1.768790352632377e-24,0.2606209992900204,5.653892020298319e-17,999,999
word2vec,MC30,cosine,0.700485055291118,1.6330156877727532e-05,0.7239346124948164,6.136425949111664e-06,30,30
word2vec,MEN,cosine,0.6179762459287921,6.61055459926717e-310,0.6235746664879653,3.8614313e-317,2946,3000
word2vec,MTurk,cosine,0.5056442432683437,2.7915219195402245e-51,0.5031018890660459,1.0528713246252117e-50,771,771
word2vec,WordSim353,adjusted_cosine,0.6812991935980213,1.7325019385908892e-49,0.6859451107941554,2.122325101501023e-50,353,353
word2vec,SimLex999,adjusted_cosine,0.3867782027396311,5.3757964493204685e-37,0.3490582344990691,5.340291844566138e-30,999,999
word2vec,MC30,adjusted_cosine,0.7908243443614289,1.9860977194305646e-07,0.7909202621600299,1.9746496516922748e-07,30,30
word2vec,MEN,adjusted_cosine,0.769231796585916,0.0,0.781523313300099,0.0,2946,3000
word2vec,MTurk,adjusted_cosine,0.6481216612921745,4.64202135714255e-93,0.6700277296940865,1.3301102563316126e-101,771,771
word2vec,WordSim353,sqrt_cosine_similarity,0.14458951733267142,0.006503183153465761,0.1273487632970102,0.016668736921774258,353,353
word2vec,SimLex999,sqrt_cosine_similarity,0.07511415213731554,0.017572122569849493,0.062449902732819244,0.04846062180381858,999,999
word2vec,MC30,sqrt_cosine_similarity,0.13068033993264724,0.4912560606029236,0.20229221111521306,0.283696685132089,30,30
word2vec,MEN,sqrt_cosine_similarity,0.2091683807553859,1.7538881987125447e-30,0.19863808805268657,1.3506434279201373e-27,2946,3000
word2vec,MTurk,sqrt_cosine_similarity,0.09421039414210686,0.008857421092510663,0.08357156615128647,0.020296657680816833,771,771
word2vec,WordSim353,isc_similarity,0.40305897194824875,3.2008966112593496e-15,0.4193179308262858,1.8281978200472482e-16,353,353
word2vec,SimLex999,isc_similarity,0.30513977461659814,5.685336244614498e-23,0.25367143338307746,3.9114011063987196e-16,999,999
word2vec,MC30,isc_similarity,0.7049354700469299,1.3659464105561302e-05,0.7194837387629085,7.444216781533322e-06,30,30
word2vec,MEN,isc_similarity,0.5961193414822193,5.111430233743967e-283,0.6018121455640242,8.044749807362005e-290,2946,3000
word2vec,MTurk,isc_similarity,0.4831497729561661,2.411521417785527e-46,0.48489791392908693,1.0272843297991748e-46,771,771
fasttext,WordSim353,cosine,0.30210237440563226,6.966253943457363e-09,0.31048937736210536,2.509542200345104e-09,353,353
fasttext,SimLex999,cosine,0.37310933128102414,2.366553018698034e-34,0.3448983602188718,2.7746496254522424e-29,999,999
fasttext,MC30,cosine,0.6615077392938579,6.880649345075934e-05,0.6611772928749152,6.958920739678699e-05,30,30
fasttext,MEN,cosine,0.504341736201667,2.4048880699733294e-193,0.5049187465219508,7.446564768381972e-194,3000,3000
fasttext,MTurk,cosine,0.34013550237687384,2.4661301904104657e-22,0.3182826612702885,1.3041087298905706e-19,771,771
fasttext,WordSim353,adjusted_cosine,0.7250651656945549,8.159955226621064e-59,0.7202841293968052,1.0399780072997488e-57,353,353
fasttext,SimLex999,adjusted_cosine,0.41866511679293966,1.1409650479513478e-43,0.36148376613217637,3.349483817751378e-32,999,999
fasttext,MC30,adjusted_cosine,0.8519458450499745,2.352009562919308e-09,0.8859464163362631,7.587981063021206e-11,30,30
fasttext,MEN,adjusted_cosine,0.7831970673416042,0.0,0.8028416029463601,0.0,3000,3000
fasttext,MTurk,adjusted_cosine,0.7225665584176305,2.0122523728526396e-125,0.7286810085812545,1.480132775792211e-128,771,771
fasttext,WordSim353,sqrt_cosine_similarity,0.21252683580786377,5.6992801475295425e-05,0.21052452487799636,6.71597571195007e-05,353,353
fasttext,SimLex999,sqrt_cosine_similarity,-0.05949752580232787,0.06012891672792324,-0.049378227316292066,0.11883239007871416,999,999
fasttext,MC30,sqrt_cosine_similarity,0.3709381310043954,0.0435887776339754,0.29509292842549234,0.11339924661340915,30,30
fasttext,MEN,sqrt_cosine_similarity,0.1266111477971711,3.4048302716486486e-12,0.12226838146807566,1.8253942536656095e-11,3000,3000
fasttext,MTurk,sqrt_cosine_similarity,0.01601367462045422,0.6570737303575795,0.012102429595215975,0.7372374990656607,771,771
fasttext,WordSim353,isc_similarity,0.29259543158162227,2.13223100373903e-08,0.30419988003643167,5.412770918425579e-09,353,353
fasttext,SimLex999,isc_similarity,0.3673186447472774,2.8608853651914566e-33,0.3417591151506163,9.465662369538045e-29,999,999
fasttext,MC30,isc_similarity,0.6527076824543124,9.256625252570641e-05,0.6611772928749152,6.958920739678699e-05,30,30
fasttext,MEN,isc_similarity,0.4934401172632136,6.590149473008853e-184,0.4941438537617672,1.6593343624913332e-184,3000,3000
fasttext,MTurk,isc_similarity,0.3323628645406205,2.4320639839358303e-21,0.31083911644639434,9.844720679130556e-19,771,771
glove,WordSim353,cosine,0.503559571610957,6.12449622754228e-23,0.49414125300667566,5.00840364711651e-22,335,353
glove,SimLex999,cosine,0.29123624037467155,5.559192435128669e-21,0.24786937094533754,1.8808843719194077e-15,999,999
glove,MC30,cosine,0.6830114800140755,3.1958944106535254e-05,0.6660732539800139,5.8768244907994564e-05,30,30
glove,MEN,cosine,0.6533740194148855,0.0,0.6531446748126138,0.0,3000,3000
glove,MTurk,cosine,0.5381455617265659,4.258910889182958e-59,0.5373025895793316,6.96524203441757e-59,771,771
glove,WordSim353,adjusted_cosine,0.4846265922244802,3.921410820942389e-21,0.4851324352173051,3.520674515318108e-21,335,353
glove,SimLex999,adjusted_cosine,0.2668131067975412,9.605232456183418e-18,0.23138377367017113,1.312536723410048e-13,999,999
glove,MC30,adjusted_cosine,0.6209892196070266,0.00025044634378184396,0.6184489050485997,0.0002699750665590592,30,30
glove,MEN,adjusted_cosine,0.6951050897976242,0.0,0.6913294167079215,0.0,3000,3000
glove,MTurk,adjusted_cosine,0.5817342805474747,5.108064696406182e-71,0.5808950603345967,9.015036857622522e-71,771,771
glove,WordSim353,sqrt_cosine_similarity,-0.09644446666099572,0.07794488655485453,-0.09786962326439025,0.07362937740401378,335,353
glove,SimLex999,sqrt_cosine_similarity,0.1607160509574878,3.2797839540456253e-07,0.1582791546995755,4.951372380028047e-07,999,999
glove,MC30,sqrt_cosine_similarity,0.2758968533313757,0.14000967113543078,0.10637588219259829,0.5758350627484068,30,30
glove,MEN,sqrt_cosine_similarity,0.08179425845800231,7.267269593074742e-06,0.07293519817284493,6.374882977632251e-05,3000,3000
glove,MTurk,sqrt_cosine_similarity,0.13717252094467908,0.00013304713832714104,0.1261650056314383,0.0004454741271442213,771,771
glove,WordSim353,isc_similarity,0.4938693961819598,5.316489825517344e-22,0.48773844594088617,2.0146567321023505e-21,335,353
glove,SimLex999,isc_similarity,0.2864276338032049,2.559706814738768e-20,0.24528878317941574,3.733582995831908e-15,999,999
glove,MC30,isc_similarity,0.6870934963029713,2.7431150027333854e-05,0.6758651761902112,4.152164346602706e-05,30,30
glove,MEN,isc_similarity,0.6406422784884781,0.0,0.6449888456712654,0.0,3000,3000
glove,MTurk,isc_similarity,0.529009847094984,8.17966403216384e-57,0.5308786237375538,2.826875265229643e-57,771,771
